##GluGluToHToWWToLNuQQ_M-200_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3      0_H200    2 1 0    0 20113 200.     1.5011 1.0    PFlow
##GluGluToHToWWToTauNuQQ_M-200_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3    0_H200    2 1 0    0 20113 200.     0.7506 1.0    PFlow
##VBF_HToWWToLNuQQ_M-200_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3          0_H200    2 2 0    0 20113 1200.    0.1823 1.0    PFlow
##VBF_HToWWToTauNuQQ_M-200_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3        0_H200    2 2 0    0 20113 1200.    0.0911 1.0    PFlow
##*** *** 1 1 1 1 1 1 1 1 ***
GluGluToHToWWToLNuQQ_M-250_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3      0_H250    2 1 0    0 20113 250.     0.9200 1.0    PFlow
GluGluToHToWWToTauNuQQ_M-250_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3    0_H250    2 1 0    0 20113 250.     0.4596 1.0    PFlow
VBF_HToWWToLNuQQ_M-250_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3          0_H250    2 2 0    0 20113 1250.    0.1195 1.0    PFlow
VBF_HToWWToTauNuQQ_M-250_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3        0_H250    2 2 0    0 20113 1250.    0.0597 1.0    PFlow
##*** *** 1 1 1 1 1 1 1 1 ***
GluGluToHToWWToLNuQQ_M-300_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3      0_H300    2 1 0    0 20113 300.     0.6710 1.0    PFlow
GluGluToHToWWToTauNuQQ_M-300_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3    0_H300    2 1 0    0 20113 300.     0.3357 1.0    PFlow
VBF_HToWWToLNuQQ_M-300_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3          0_H300    2 2 0    0 20113 1300.    0.0860 1.0    PFlow
VBF_HToWWToTauNuQQ_M-300_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3        0_H300    2 2 0    0 20113 1300.    0.0430 1.0    PFlow
##*** *** 1 1 1 1 1 1 1 1 ***
GluGluToHToWWToLNuQQ_M-350_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3      0_H350    2 1 0    0 20113 350.     0.6079 1.0    PFlow
GluGluToHToWWToTauNuQQ_M-350_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3    0_H350    2 1 0    0 20113 350.     0.3039 1.0    PFlow
VBF_HToWWToLNuQQ_M-350_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3          0_H350    2 2 0    0 20113 1350.    0.0620 1.0    PFlow
VBF_HToWWToTauNuQQ_M-350_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3        0_H350    2 2 0    0 20113 1350.    0.0310 1.0    PFlow
##*** *** 1 1 1 1 1 1 1 1 ***
GluGluToHToWWToLNuQQ_M-400_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3      0_H400    2 1 0    0 20113 400.     0.4653 1.0    PFlow
GluGluToHToWWToTauNuQQ_M-400_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3    0_H400    2 1 0    0 20113 400.     0.2326 1.0    PFlow
VBF_HToWWToLNuQQ_M-400_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3          0_H400    2 2 0    0 20113 1400.    0.0395 1.0    PFlow
VBF_HToWWToTauNuQQ_M-400_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3        0_H400    2 2 0    0 20113 1400.    0.0197 1.0    PFlow
##*** *** 1 1 1 1 1 1 1 1 ***
GluGluToHToWWToLNuQQ_M-450_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3      0_H450    2 1 0    0 20113 450.     0.2953 1.0    PFlow
GluGluToHToWWToTauNuQQ_M-450_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3    0_H450    2 1 0    0 20113 450.     0.1476 1.0    PFlow
VBF_HToWWToLNuQQ_M-450_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3          0_H450    2 2 0    0 20113 1450.    0.0283 1.0    PFlow
VBF_HToWWToTauNuQQ_M-450_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3        0_H450    2 2 0    0 20113 1450.    0.0141 1.0    PFlow
##*** *** 1 1 1 1 1 1 1 1 ***
GluGluToHToWWToLNuQQ_M-500_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3      0_H500    2 1 0    0 20113 500.     0.1823 1.0    PFlow
GluGluToHToWWToTauNuQQ_M-500_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3    0_H500    2 1 0    0 20113 500.     0.0911 1.0    PFlow
VBF_HToWWToLNuQQ_M-500_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3          0_H500    2 2 0    0 20113 1500.    0.0214 1.0    PFlow
VBF_HToWWToTauNuQQ_M-500_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3        0_H500    2 2 0    0 20113 1500.    0.0107 1.0    PFlow
##*** *** 1 1 1 1 1 1 1 1 ***
GluGluToHToWWToLNuQQ_M-550_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3      0_H550    2 1 0    0 20113 550.     0.1143 1.0    PFlow
GluGluToHToWWToTauNuQQ_M-550_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3    0_H550    2 1 0    0 20113 550.     0.0571 1.0    PFlow
VBF_HToWWToLNuQQ_M-550_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3          0_H550    2 2 0    0 20113 1550.    0.0167 1.0    PFlow
VBF_HToWWToTauNuQQ_M-550_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3        0_H550    2 2 0    0 20113 1550.    0.0083 1.0    PFlow
##*** *** 1 1 1 1 1 1 1 1 ***
GluGluToHToWWToLNuQQ_M-600_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3      0_H600    2 1 0    0 20113 600.     0.0718 1.0    PFlow
GluGluToHToWWToTauNuQQ_M-600_7TeV-powheg-pythia6_abenagli-SQWaT_PAT_42X_Fall11_v3    0_H600    2 1 0    0 20113 600.     0.0359 1.0    PFlow
